Titulo,Ano,Duracao,Classificacao_Indicativa,Classificação_no_IMDb,Qtd_Avaliacoes,Direcao,Atores,Legenda,Prime_Video
Julgamento em Nuremberg,1961,2h 59m,Approved,"8,3",82 mil,Direção Stanley Kramer,"Stanley Kramer, Spencer Tracy, Burt Lancaster","Em 1948, um tribunal dos Estados Unidos na Alemanha ocupada julga quatro nazistas por crimes de guerra.",Sem link Prime
O Show de Truman: O Show da Vida,1998,1h 43m,12,"8,2","1,2 mi",Direção Peter Weir,"Peter Weir, Jim Carrey, Ed Harris",Um vendedor de seguros descobre que sua vida é um programa de televisão.,https://www.primevideo.com/detail/amzn1.dv.gti.3eabfc03-587b-3e3e-7482-63469ae0e3dd
Sangue Negro,2007,2h 38m,14,"8,2",621 mil,Direção Paul Thomas Anderson,"Paul Thomas Anderson, Daniel Day-Lewis, Paul Dano","Uma história sobre familia, religião, ódio e loucura, centrada na vida de um explorador de petróleo nos primeiros anos do negócio.",https://www.primevideo.com/detail/amzn1.dv.gti.4cac5f2a-4f0a-aa22-c6b8-8b418f15dd1f
Cassino,1995,2h 58m,18,"8,2",547 mil,Direção Martin Scorsese,"Martin Scorsese, Robert De Niro, Sharon Stone","Uma história de ganância, dinheiro e assassinato acontece entre dois melhores amigos: um mafioso e um executivo de cassino, que competem uns com os outros por um império de jogo e pelo amor de uma socialite.",https://www.primevideo.com/detail/amzn1.dv.gti.aab528b4-40bd-81a0-25df-8e36bfdd940e
Ran,1985,2h 40m,16,"8,2",132 mil,Direção Akira Kurosawa,"Akira Kurosawa, Tatsuya Nakadai, Akira Terao","No Japão medieval, um senhor feudal decide abdicar e entregar seus domínios aos seus três filhos. Mas ele não é capaz de ver que esses novos poderes irão corrompê-los e levá-los a enfrentar um ao outro, e contra ele.",Sem link Prime
Ilha do Medo,2010,2h 18m,16,"8,2","1,4 mi",Direção Martin Scorsese,"Martin Scorsese, Leonardo DiCaprio, Emily Mortimer","Em 1945, um policial federal dos Estados Unidos investiga o desaparecimento de um assassino que escapou de um hospital psiquiátrico.",https://www.primevideo.com/detail/amzn1.dv.gti.eda97746-50fd-4989-9219-f07306d68ef3
O Labirinto do Fauno,2006,1h 58m,16,"8,2",690 mil,Direção Guillermo del Toro,"Guillermo del Toro, Ivana Baquero, Ariadna Gil","Na Espanha de 1944, a filha dum oficial do exército escapa a um mundo de fantasia.",Sem link Prime
O Sexto Sentido,1999,1h 47m,12,"8,2",1 mi,Direção M. Night Shyamalan,"M. Night Shyamalan, Bruce Willis, Haley Joel Osment",Um menino que consegue se comunicar com espíritos encontra ajuda de um psicólogo.,Sem link Prime
Os Imperdoáveis,1992,2h 10m,12,"8,2",427 mil,Direção Clint Eastwood,"Clint Eastwood, Clint Eastwood, Gene Hackman","O atirador do Velho Oeste, William Munny, relutantemente aceita um último trabalho com a ajuda de seu antigo amigo e um jovem.",https://www.primevideo.com/detail/amzn1.dv.gti.0ab52926-a484-a406-5b97-fc8706e10ce5
Jurassic Park,1993,2h 7m,Livre,"8,2",1 mi,Direção Steven Spielberg,"Steven Spielberg, Sam Neill, Laura Dern",Durante um tour o parque sofre falta de energia eléctrica o que faz que um dinossauro clonado saia do seu claustro.,https://www.primevideo.com/detail/amzn1.dv.gti.46fc7bed-b4d8-4595-a01f-6bac1d04e1de
Uma Mente Brilhante,2001,2h 15m,12,"8,2",965 mil,Direção Ron Howard,"Ron Howard, Russell Crowe, Ed Harris",A vida do brilhante mas insociável matemático John Nash muda quando ele aceita um trabalho secreto em criptografia.,https://www.primevideo.com/detail/amzn1.dv.gti.ecaf0d91-80db-3fec-ce14-ec9ac0148002
O Tesouro da Sierra Madre,1948,2h 6m,Livre,"8,2",130 mil,Direção John Huston,"John Huston, Humphrey Bogart, Walter Huston",Dois americanos em busca de trabalho no México convencem um homem a ajudá-los a extrair ouro nas montanhas da Serra Madre.,https://www.primevideo.com/detail/amzn1.dv.gti.fcba8272-1502-756f-88ae-20c095670f4b
"Yojimbo, o Guarda-Costas",1961,1h 50m,Livre,"8,2",128 mil,Direção Akira Kurosawa,"Akira Kurosawa, Toshirô Mifune, Eijirô Tôno",Um astuto ronin chega a uma cidade dividida por duas quadrilhas criminosas e decide se confrontar para libertar a cidade.,Sem link Prime
Onde os Fracos Não Têm Vez,2007,2h 2m,16,"8,2",1 mi,Direção Ethan CoenJoel Coen,"Ethan Coen, Joel Coen, Tommy Lee Jones",Violência e caos surgem quando um caçador se depara com uma negociação de drogas que deu errado e mais de dois milhões de dólares perto do Rio Grande.,https://www.primevideo.com/detail/amzn1.dv.gti.6eb9145f-9d71-a032-d158-b427b417ddf9
Kill Bill: Volume 1,2003,1h 51m,18,"8,2","1,2 mi",Direção Quentin Tarantino,"Quentin Tarantino, Uma Thurman, David Carradine","Depois de despertar de um coma de quatro anos, uma antiga assassina busca vingança contra o grupo de assassinos que a traiu.",Sem link Prime
Monty Python em Busca do Cálice Sagrado,1975,1h 31m,Livre,"8,2",560 mil,Direção Terry GilliamTerry Jones,"Terry Gilliam, Terry Jones, Graham Chapman","O Rei Arthur e seus Cavaleiros da Távola Redonda embarcam em uma busca surrealista e de baixo orçamento pelo Santo Graal, encontrando múltiplos obstáculos estúpidos.",Sem link Prime
O Enigma de Outro Mundo,1982,1h 49m,14,"8,2",449 mil,Direção John Carpenter,"John Carpenter, Kurt Russell, Wilford Brimley",Um team de investigação na Antartica é perseguido por extraterrestres.,https://www.primevideo.com/detail/amzn1.dv.gti.30abea91-57a8-2bed-2f2f-ff165193d236
Fugindo do Inferno,1963,2h 52m,12,"8,2",254 mil,Direção John Sturges,"John Sturges, Steve McQueen, James Garner",Prisioneiros de guerra aliados planejam uma fuga maciça de um campo alemão durante a Segunda Guerra Mundial.,https://www.primevideo.com/detail/amzn1.dv.gti.c4b4cf5c-e25c-6600-0be5-11ff3271486b
Rashomon,1950,1h 28m,14,"8,2",176 mil,Direção Akira Kurosawa,"Akira Kurosawa, Toshirô Mifune, Machiko Kyô","A violação de uma noiva e o assassinato de seu marido samurai são lembrados desde a perspectiva de um bandido, da noiva, do fantasma do samurai e de um lenhador.",Sem link Prime
Procurando Nemo,2003,1h 40m,Livre,"8,2","1,1 mi",Direção Andrew StantonLee Unkrich,"Andrew Stanton, Lee Unkrich, Albert Brooks","Quando seu filho é capturado, um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa.",https://www.imdb.com/showtimes/title/tt0266543/2023-10-15
O Homem Elefante,1980,2h 4m,10,"8,2",253 mil,Direção David Lynch,"David Lynch, Anthony Hopkins, John Hurt","Um famoso médico estuda a um jovem com a cara deformada, conhecido como Homem Elefante, ele se da conta que o homem é inteligente e de bom coração.",https://www.primevideo.com/detail/amzn1.dv.gti.88828fc5-d5fb-4a94-8b6c-905e71ef3e21
Chinatown,1974,2h 10m,12,"8,2",341 mil,Direção Roman Polanski,"Roman Polanski, Jack Nicholson, Faye Dunaway","Um detetive particular contratado para desmascarar um adúltero é pego em uma teia de fraude, corrupção e assassinato.",https://www.primevideo.com/detail/amzn1.dv.gti.e2b85fc0-3d64-6dbb-d97c-bacae6a53597
O Castelo Animado,2004,1h 59m,Livre,"8,2",426 mil,Direção Hayao Miyazaki,"Hayao Miyazaki, Chieko Baishô, Takuya Kimura",Uma jovem sem autoconfiança é amaldiçoada com um corpo envelhecido por uma bruxa odiosa. Sua única chance de quebrar o feitiço é um jovem feiticeiro em um castelo itinerante.,Sem link Prime
Disque M para Matar,1954,1h 45m,16,"8,2",184 mil,Direção Alfred Hitchcock,"Alfred Hitchcock, Ray Milland, Grace Kelly","Um ex-tenista decide matar a esposa para herdar o dinheiro dela e se vingar de um caso que ela havia tido. A fim de se livrar de culpas, usa um antigo colega de faculdade. Mas as coisas não vão correr como estava planeado.",https://www.primevideo.com/detail/amzn1.dv.gti.86b87d01-610e-0d61-f44c-092508bf27b2
E o Vento Levou,1939,3h 58m,Livre,"8,2",327 mil,Direção Victor FlemingGeorge CukorSam Wood,"Victor Fleming, George Cukor, Sam Wood",Uma mulher manipuladora e uma truhan embarcam em um romance turbulento durante a Guerra Civil Americana e o período da Reconstrução.,https://www.primevideo.com/detail/amzn1.dv.gti.12b528b4-437c-7d59-326a-5f6686a62cee
V de Vingança,2005,2h 12m,16,"8,2","1,2 mi",Direção James McTeigue,"James McTeigue, Hugo Weaving, Natalie Portman","Em um futuro da tirania britânica, um lutador clandestino conhecido como V trama um plano para derrubá-la com a ajuda de uma jovem mulher.",https://www.primevideo.com/detail/amzn1.dv.gti.28b51b66-88ca-4d43-38aa-52e09e858348
Touro Indomável,1980,2h 9m,16,"8,1",370 mil,Direção Martin Scorsese,"Martin Scorsese, Robert De Niro, Cathy Moriarty","A vida do boxeador Jake LaMotta, que vê como a violência e temperamento que o levam ao topo do ringue, destroem sua vida fora dele.",https://www.primevideo.com/detail/amzn1.dv.gti.d6b76548-85ab-bb43-1d39-69641bdb3711
Homem-Aranha: Sem Volta para Casa,2021,2h 28m,12,"8,2",835 mil,Direção Jon Watts,"Jon Watts, Tom Holland, Zendaya","Com a identidade do Homem-Aranha revelada, Peter pede ajuda ao Doutor Strange. Quando um feitiço corre mal, inimigos perigosos de outros mundos começam a aparecer, forçando Peter a descobrir o que realmente significa ser o Homem-Aranha.",Sem link Prime
"Jogos, Trapaças e Dois Canos Fumegantes",1998,1h 47m,18,"8,1",604 mil,Direção Guy Ritchie,"Guy Ritchie, Jason Flemyng, Dexter Fletcher","Um jogo de cartas em Londres desencadeia um confronto entre quatro amigos, plantadores de maconha, agiotas e cobradores de dívidas em uma série de eventos curiosos, tudo por algo de maria, dinheiro e duas pistolas antigas.",https://www.primevideo.com/detail/amzn1.dv.gti.1eb8d2ff-0445-033e-6255-918a019f4b04
Os Suspeitos,2013,2h 33m,16,"8,1",774 mil,Direção Denis Villeneuve,"Denis Villeneuve, Hugh Jackman, Jake Gyllenhaal","Quando a filha de Keller Dover e sua amiguinha desaparecem, ele decide investigar o caso por sua conta enquanto a polícia segue múltiplas pistas e a pressão para resolver o caso aumenta.",https://www.primevideo.com/detail/amzn1.dv.gti.ceb226c9-c931-e8c7-8040-96cf1432250f
O Segredo dos Seus Olhos,2009,2h 9m,16,"8,2",218 mil,Direção Juan José Campanella,"Juan José Campanella, Ricardo Darín, Soledad Villamil","Um assessor jurídico aposentado escreve um romance com a esperança de fechar um de seus antigos casos de homicídio, que permanece sem solução, e superar o amor não correspondido que sentia por seu chefe. Décadas depois, ambas as memórias continuam a persegui-lo.",Sem link Prime
Divertida Mente,2015,1h 35m,Livre,"8,1",757 mil,Direção Pete DocterRonnie Del Carmen,"Pete Docter, Ronnie Del Carmen, Amy Poehler",Quando o jovem Riley se muda á San Francisco deberá lidiar com suas emoções.,Sem link Prime
Três Anúncios para um Crime,2017,1h 55m,16,"8,1",538 mil,Direção Martin McDonagh,"Martin McDonagh, Frances McDormand, Woody Harrelson",Uma mãe desafia pessoalmente as autoridades locais para resolver o assassinato de sua filha.,Sem link Prime
A Ponte do Rio Kwai,1957,2h 41m,12,"8,1",229 mil,Direção David Lean,"David Lean, William Holden, Alec Guinness","Depois de resolver suas diferenças com um japonês, o comandante do campo, um coronel britânico, coopera para supervisionar a construção de uma ponte ferroviária.",https://www.primevideo.com/detail/amzn1.dv.gti.3ab528b4-ad13-144b-9b3a-c54e27bad919
Trainspotting: Sem Limites,1996,1h 33m,18,"8,1",711 mil,Direção Danny Boyle,"Danny Boyle, Ewan McGregor, Ewen Bremner","Renton, profundamente imerso no mundo das drogas em Edimburgo, tenta sair do ambiente apesar da má influência dos amigos.",Sem link Prime
Fargo: Uma Comédia de Erros,1996,1h 38m,18,"8,1",705 mil,Direção Joel CoenEthan Coen,"Joel Coen, Ethan Coen, William H. Macy",O crime de Jerry Lundegaard se desfaz devido à falta de sorte dele e de seus colegas e ao persistente trabalho polícia.,https://www.primevideo.com/detail/amzn1.dv.gti.9ab64118-800c-7078-fba6-87d356927109
Guerreiro,2011,2h 20m,12,"8,1",489 mil,Direção Gavin O'Connor,"Gavin O'Connor, Tom Hardy, Nick Nolte","O filho pequeno de um exboxer alcoólatra volta para casa, onde seu pai o treina para um torneio de artes marciais mistas.",Sem link Prime
Gran Torino,2008,1h 56m,14,"8,1",800 mil,Direção Clint Eastwood,"Clint Eastwood, Clint Eastwood, Bee Vang","Walt Kowalski, um ranzinza veterano da guerra da Coreia, tenta dar uma lição em seu vizinho quando este tentar roubar seu bem mais precioso: um Gran Torino de 1972.",https://www.primevideo.com/detail/amzn1.dv.gti.56b53d3d-35e2-7598-3bd7-9cd3bec04b95
Prenda-me se for Capaz,2002,2h 21m,12,"8,1","1,1 mi",Direção Steven Spielberg,"Steven Spielberg, Leonardo DiCaprio, Tom Hanks","Um agente do FBI persegue Frank Abagnale, que antes de seus 19 anos consegue ganhar milhões de dólares fingindo ser um piloto, um médico e um advogado.",https://www.primevideo.com/detail/amzn1.dv.gti.eaac5c32-861e-4116-f813-4620f7dd1130
Meu Amigo Totoro,1988,1h 26m,Livre,"8,1",363 mil,Direção Hayao Miyazaki,"Hayao Miyazaki, Hitoshi Takagi, Noriko Hidaka","Quando duas meninas se mudam para o campo para ficar perto de sua mãe doente, elas têm aventuras com os maravilhosos espíritos da floresta que moram nas proximidades.",Sem link Prime
Menina de Ouro,2004,2h 12m,12,"8,1",709 mil,Direção Clint Eastwood,"Clint Eastwood, Hilary Swank, Clint Eastwood",Uma mulher determinada se prepara para se tornar numa pugilista profissional.,https://www.primevideo.com/detail/amzn1.dv.gti.78bbe8f2-f12a-a266-85c5-9f6f1bdf1ac2
Klaus,2019,1h 36m,10,"8,2",172 mil,Direção Sergio PablosCarlos Martínez López,"Sergio Pablos, Carlos Martínez López, Jason Schwartzman","Um simples ato de bondade sempre provoca outro, mesmo em um lugar gelado e distante. Quando o novo carteiro de Smeerensburg faz amizade com o fabricante de brinquedos Klaus, seus presentes derreteram uma antiga inimizade.",Sem link Prime
Harry Potter e as Relíquias da Morte - Parte 2,2011,2h 10m,14,"8,1",920 mil,Direção David Yates,"David Yates, Daniel Radcliffe, Emma Watson","Harry, Ron e Hermione devem escapar a Voldemort e tentar trabalhar em conjunto para localizar e aniquilar os Horcruxes, que contêm pedaços da alma de Voldemort.",https://www.primevideo.com/detail/amzn1.dv.gti.efe48bee-02f5-4dfb-a28e-b07d4c91920e
Filhos do Paraíso,1997,1h 29m,Livre,"8,2",78 mil,Direção Majid Majidi,"Majid Majidi, Mohammad Amir Naji, Amir Farrokh Hashemian","Depois que uma criança perde o par de sapatos de sua irmã, ele embarca em uma série de aventuras para encontrá-los. Quando não consegue, ele tenta uma nova maneira de procurá-los.",Sem link Prime
Blade Runner: O Caçador de Androides,1982,1h 57m,14,"8,1",802 mil,Direção Ridley Scott,"Ridley Scott, Harrison Ford, Rutger Hauer","Um corredor deberá perseguir é acabar com quatro replicantes que roubaram uma nave no espaço, e deberá regresar á Terra e encontrar seu criador.",https://www.primevideo.com/detail/amzn1.dv.gti.92b56963-15ac-700c-a17f-2679012ba24a
12 Anos de Escravidão,2013,2h 14m,14,"8,1",727 mil,Direção Steve McQueen,"Steve McQueen, Chiwetel Ejiofor, Michael Kenneth Williams","Solomon Northup, um homem preto livre de Nova Iorque, é raptado e vendido como escravo.",Sem link Prime
Antes do Amanhecer,1995,1h 41m,12,"8,1",329 mil,Direção Richard Linklater,"Richard Linklater, Ethan Hawke, Julie Delpy",Um jovem e uma mulher se conhecem num trem em Europa é passam uma noite juntos em Viena.,https://www.primevideo.com/detail/amzn1.dv.gti.08b680ff-6b67-c013-7bc1-e5fed1f7bf87
O Grande Hotel Budapeste,2014,1h 39m,14,"8,1",861 mil,Direção Wes Anderson,"Wes Anderson, Ralph Fiennes, F. Murray Abraham","As aventuras de Gustave H, um lendário porteiro dum famoso hotel da ficcional República de Zubrowka entre a primeira y a segunda guerra mundial.",Sem link Prime
Em Busca do Ouro,1925,1h 35m,Livre,"8,1",116 mil,Direção Charles Chaplin,"Charles Chaplin, Charles Chaplin, Mack Swain",Um garimpeiro vai ao Klondike em busca de ouro e encontra muito mais que isso.,Sem link Prime
Ben-Hur,1959,3h 32m,Livre,"8,1",249 mil,Direção William Wyler,"William Wyler, Charlton Heston, Jack Hawkins","Quando um príncipe de Jerusalém é traído e enviado à escravidão por um amigo romano, ele recupera sua liberdade e retorna para se vingar.",https://www.primevideo.com/detail/amzn1.dv.gti.bcbada24-1d56-457b-3cb4-136c64d2713f
Garota Exemplar,2014,2h 29m,14,"8,1",1 mi,Direção David Fincher,"David Fincher, Ben Affleck, Rosamund Pike","Desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente.",https://www.primevideo.com/detail/amzn1.dv.gti.22b7dad4-fd93-5a61-6966-910835a652cd
Barry Lyndon,1975,3h 5m,Livre,"8,1",178 mil,Direção Stanley Kubrick,"Stanley Kubrick, Ryan O'Neal, Marisa Berenson",Um irlandês conquista o coração de uma viúva rica e assume a posição aristocrática de seu falecido marido na Inglaterra do século XVIII.,https://www.primevideo.com/detail/amzn1.dv.gti.deb81a8f-b09b-73c0-28f6-def945f8033c
Sindicato de Ladrões,1954,1h 48m,14,"8,1",161 mil,Direção Elia Kazan,"Elia Kazan, Marlon Brando, Karl Malden",Um ex-lutador que virou lutador enfrenta seus chefes corruptos.,https://www.primevideo.com/detail/amzn1.dv.gti.e6a2d6f9-d4c8-41e4-bcc4-a1cb0ed34d23
Até o Último Homem,2016,2h 19m,16,"8,1",570 mil,Direção Mel Gibson,"Mel Gibson, Andrew Garfield, Sam Worthington","O médico amaericano da Segunda Guerra Mundial, Desmond T. Doss, se recusa a matar pessoas e se torna o primeiro homem na história dos Estados Unidos a receber a Medalha de Honra sem atirar um tiro.",https://www.primevideo.com/detail/amzn1.dv.gti.06b72627-cef1-a054-8bec-94365a33aa3a
Em Nome do Pai,1993,2h 13m,16,"8,1",183 mil,Direção Jim Sheridan,"Jim Sheridan, Daniel Day-Lewis, Pete Postlethwaite","Em 1974, uma explosão a bomba acontece em Guilford, próximo de Londres. Gerry Conlon e amigos são acusados pelo crime e presos. Giuseppe Conlon, pai de Gerry, pede ajuda à advogada Gareth Peirce, que investiga as irregularidades do caso.",https://www.primevideo.com/detail/amzn1.dv.gti.60bb154d-5779-b953-300d-c0953d3c74ef
Memórias de um Assassino,2003,2h 11m,14,"8,1",204 mil,Direção Bong Joon Ho,"Bong Joon Ho, Song Kang-ho, Kim Sang-kyung","Em uma pequena província coreana em 1986, três detetives estão procurando o culpado de uma série de estupros e assassinatos de mulheres jovens.",Sem link Prime
A General,1926,1h 18m,Livre,"8,1",96 mil,Direção Clyde BruckmanBuster Keaton,"Clyde Bruckman, Buster Keaton, Buster Keaton","Uns espiões roubam a amada locomotiva de um engenheiro, ele a persegue sozinho através das linhas inimigas.",Sem link Prime
O Franco Atirador,1978,3h 3m,18,"8,1",353 mil,Direção Michael Cimino,"Michael Cimino, Robert De Niro, Christopher Walken",Um retrato detalhado das maneiras pelas quais a Guerra do Vietnã interrompeu a vida dos habitantes de uma pequena cidade industrial na Pensilvânia.,https://www.primevideo.com/detail/amzn1.dv.gti.c5bdf0bb-7e07-448c-b86a-61c02629ac72
Morangos Silvestres,1957,1h 31m,10,"8,1",112 mil,Direção Ingmar Bergman,"Ingmar Bergman, Victor Sjöström, Bibi Andersson","Depois de viver uma vida marcada pela frieza, um professor idoso é forçado a confrontar o vazio de sua existência.",Sem link Prime
O 3º Homem,1949,1h 44m,14,"8,1",178 mil,Direção Carol Reed,"Carol Reed, Orson Welles, Joseph Cotten","O romancista Holly Martins viaja para sombria, Viena pós-guerra, apenas para ele mesmo investigar a misteriosa morte de um velho amigo, Harry Lime",Sem link Prime
O Salário do Medo,1953,2h 11m,16,"8,2",65 mil,Direção Henri-Georges Clouzot,"Henri-Georges Clouzot, Yves Montand, Charles Vanel","Em uma aldeia da América do Sul, quatro homens são contratados para transportar uma remessa urgente de nitroglicerina, mas sem o equipamento de segurança.",Sem link Prime
Relatos Selvagens,2014,2h 2m,14,"8,1",210 mil,Direção Damián Szifron,"Damián Szifron, Darío Grandinetti, María Marull",Sies historias curtas que exploram o comportamento humano de pessoas desesperadas.,https://www.primevideo.com/detail/amzn1.dv.gti.1eb37d43-c4d5-ed04-5956-207cdcdef597
Bancando o Águia,1924,45m,Passed,"8,2",54 mil,Direção Buster Keaton,"Buster Keaton, Buster Keaton, Kathryn McGuire",Um projecionista de cinema deseja ser um detetive e coloca suas magras habilidades em prática quando um rival o incrimina por roubar o relógio de bolso do pai de sua namorada.,Sem link Prime
Sociedade dos Poetas Mortos,1989,2h 8m,12,"8,1",524 mil,Direção Peter Weir,"Peter Weir, Robin Williams, Robert Sean Leonard",O professor de Inglés John Keating inspira a seus estudantes a ver a poesia duma perspectiva diferente.,Sem link Prime
Mad Max: Estrada da Fúria,2015,2h,16,"8,1","1,1 mi",Direção George Miller,"George Miller, Tom Hardy, Charlize Theron","Num mundo apocalíptico, uma mulher se rebela contra um tirano ao procurar uma nova casa para um grupo de mulheres prisioneiras com a ajuda dum homem chamado Max.",https://www.primevideo.com/detail/amzn1.dv.gti.55901cd8-ab26-47ef-9a91-a474cd7696cd
A Mulher Faz o Homem,1939,2h 9m,Livre,"8,1",119 mil,Direção Frank Capra,"Frank Capra, James Stewart, Jean Arthur","Um homem ingênuo é eleito para ocupar uma vaga no Senado dos Estados Unidos. Seus planos colidem rapidamente com a corrupção política, mas ele não desiste.",https://www.primevideo.com/detail/amzn1.dv.gti.6078ea33-703b-4b6b-ad42-c5c28d8be2a5
Monstros SA,2001,1h 32m,Livre,"8,1",952 mil,Direção Pete DocterDavid SilvermanLee Unkrich,"Pete Docter, David Silverman, Lee Unkrich","Para poder dar electricidade a sua cidade, os monstros tem que assustar a crianças. Pensando que as crianças são perigosas para eles, dois monstros acham que as coisas podem ser diferentes.",Sem link Prime
Tubarão,1975,2h 4m,14,"8,1",642 mil,Direção Steven Spielberg,"Steven Spielberg, Roy Scheider, Robert Shaw","Quando um tubarão desencadea caos numa praia, um xerife, um biologista e um marinheiro daram caça ao animal.",https://www.primevideo.com/detail/amzn1.dv.gti.86acdce1-540f-e7c8-d566-fcc5346101f5
Como Treinar o Seu Dragão,2010,1h 38m,Livre,"8,1",778 mil,Direção Dean DeBloisChris Sanders,"Dean DeBlois, Chris Sanders, Jay Baruchel","Um jovem e desafortunado viking que aspira a caçar dragões se torna o improvável amigo de um jovem dragão, e descobre que pode haver mais nas criaturas do que ele supunha.",https://www.primevideo.com/detail/amzn1.dv.gti.b8b02e3f-9ef9-d61c-e2a3-050bd9ad1c66
Mary e Max: Uma Amizade Diferente,2009,1h 32m,12,"8,1",183 mil,Direção Adam Elliot,"Adam Elliot, Toni Collette, Philip Seymour Hoffman","Relata a estranha história de uma amizade entre dois amigos por correspondência: Mary, uma garota solitária de oito anos que vive nos subúrbios de Melbourne, e Max, um homem obeso de quarenta e quatro anos que vive em Nova York.",Sem link Prime
O Sétimo Selo,1957,1h 36m,12,"8,1",194 mil,Direção Ingmar Bergman,"Ingmar Bergman, Max von Sydow, Gunnar Björnstrand","Um homem procura respostas sobre a vida, a morte e a existência de Deus enquanto joga xadrez contra a morte durante a Morte Negra.",Sem link Prime
O Quarto de Jack,2015,1h 58m,14,"8,1",439 mil,Direção Lenny Abrahamson,"Lenny Abrahamson, Brie Larson, Jacob Tremblay","Um menino é mantido preso em um quarto com sua mãe desde seu nascimento, por isso sua visão do mundo é muito reduzida.",https://www.primevideo.com/detail/amzn1.dv.gti.04b67c0c-555a-1306-0002-e6ce029be2f7
Ford vs Ferrari,2019,2h 32m,12,"8,1",440 mil,Direção James Mangold,"James Mangold, Matt Damon, Christian Bale","Um designer de carros e um motorista combatem a interferência corporativa, as leis da física e seus próprios demônios pessoais para construir um carro de corrida revolucionário para a Ford e desafiar a Ferrari nas 24 Horas de Le Mans em 1966.",Sem link Prime
O Grande Lebowski,1998,1h 57m,14,"8,1",840 mil,Direção Joel CoenEthan Coen,"Joel Coen, Ethan Coen, Jeff Bridges","Jeff The Dude Lebowski, foi confundido por um millonário do mesmo nome e procurará restituçao com a ajuda do seus amigos.",https://www.primevideo.com/detail/amzn1.dv.gti.9ab7d349-9ed9-060c-f426-fe6b9727fdf3
Era uma Vez em Tóquio,1953,2h 16m,10,"8,1",66 mil,Direção Yasujirô Ozu,"Yasujirô Ozu, Chishû Ryû, Chieko Higashiyama","Um casal de idosos visita seus filhos e netos na cidade, mas recebe pouca atenção.",Sem link Prime
Ratatouille,2007,1h 51m,Livre,"8,1",791 mil,Direção Brad BirdJan Pinkava,"Brad Bird, Jan Pinkava, Brad Garrett",Um rato que pode cozinhar forja uma aliança incomum com um jovem garoto em um famoso restaurante em Paris.,https://www.imdb.com/showtimes/title/tt0382932/2023-10-18
Rocky: Um Lutador,1976,2h,12,"8,1",611 mil,Direção John G. Avildsen,"John G. Avildsen, Sylvester Stallone, Talia Shire",Um boxer pouco conhecido tem uma grande oportunidade de enfrentar o campeão dos pesos pesados em uma partida em que ele esperaele espera estar à altura da tarefa e divulgar seu nome.,https://www.primevideo.com/detail/amzn1.dv.gti.beb56442-d85f-5d6d-22e8-f4322532c3a7
Hotel Ruanda,2004,2h 1m,14,"8,1",366 mil,Direção Terry George,"Terry George, Don Cheadle, Sophie Okonedo",Paul Rusesabagina era o gerente de um hotel que abrigava mais de mil refugiados tutsis durante sua luta contra a milícia hutu em Ruanda.,https://www.primevideo.com/detail/amzn1.dv.gti.eeb75a41-ab07-6920-07d4-756d711e4c45
Logan,2017,2h 17m,16,"8,1",806 mil,Direção James Mangold,"James Mangold, Hugh Jackman, Patrick Stewart","Em um futuro em que os mutantes estão quase extintos, um velho e cansado Logan leva uma vida tranquila. Mas quando Laura, uma garota mutante perseguida por cientistas, pede ajuda a ele, ele deve colocá-la em segurança.",Sem link Prime
O Martírio de Joana D'Arc,1928,1h 50m,14,"8,1",59 mil,Direção Carl Theodor Dreyer,"Carl Theodor Dreyer, Maria Falconetti, Eugene Silvain","Em 1431, Joana D'Arc é julgada sob acusações de heresia. Os advogados da Igreja tentam forçar Jeanne a retractar suas reivindicações de visões sagradas.",Sem link Prime
Spotlight: Segredos Revelados,2015,2h 9m,12,"8,1",491 mil,Direção Tom McCarthy,"Tom McCarthy, Mark Ruffalo, Michael Keaton",A verdadeira historia de como o jornal Boston Globe revelou o escândalo de abuso sexual infantil dentro da igreja católica da cidade e que agitou a toda igreja católica no mundo.,https://www.primevideo.com/detail/amzn1.dv.gti.bcb76c16-510d-396e-ec43-652b70372e53
Platoon,1986,2h,14,"8,1",429 mil,Direção Oliver Stone,"Oliver Stone, Charlie Sheen, Tom Berenger",Um jovem soldado do Vietnã se confronta com uma crisis moral frete aos horrores da guerra.,https://www.primevideo.com/detail/amzn1.dv.gti.94b491ab-e3ca-eb96-1d58-437bd22a5c45
O Exterminador do Futuro,1984,1h 47m,14,"8,1",902 mil,Direção James Cameron,"James Cameron, Arnold Schwarzenegger, Linda Hamilton",Um indestrutível robô é enviado de 2029 a 1984 para assassinar a uma jovem garçonete que vai ter um filho que vai liderar uma guerra contra máquinas maa um soldado humano também é enviado para protege-lha.,https://www.primevideo.com/detail/amzn1.dv.gti.7ebacf64-75a7-7e66-5e1d-89310aeb0d75
Jai Bhim,2021,2h 44m,TV-MA,"8,8",211 mil,Direção T.J. Gnanavel,"T.J. Gnanavel, Suriya, Lijo Mol Jose","Quando um homem tribal é preso por um caso de suposto roubo, sua esposa recorre a um advogado de direitos humanos para ajudá-lo a fazer justiça.",https://www.primevideo.com/detail/amzn1.dv.gti.fbf03970-02ad-4c3f-acc7-50fa6956121b
